Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Upload file Method - FileWrapper,Chrome 128.0.0.0,,,19-09-2024 01:35:46,19-09-2024 01:36:28,41.934s,PASSED
,,,,,,,
Test Cases/TC File Upload - Kool Session/File_Upload - FileWrapper,Chrome 128.0.0.0,,,19-09-2024 01:35:46,19-09-2024 01:36:28,41.849s,PASSED
Start listener action : enableSauceLabs,Chrome 128.0.0.0,,,19-09-2024 01:35:46,19-09-2024 01:35:46,0.007s,PASSED
"openBrowser("""")",Chrome 128.0.0.0,,,19-09-2024 01:35:47,19-09-2024 01:35:50,2.955s,PASSED
maximizeWindow(),Chrome 128.0.0.0,,,19-09-2024 01:35:50,19-09-2024 01:35:50,0.402s,PASSED
driver = getWebDriver(),Chrome 128.0.0.0,,,19-09-2024 01:35:50,19-09-2024 01:35:50,0.014s,PASSED
wrappedDriver = driver.getWrappedDriver(),Chrome 128.0.0.0,,,19-09-2024 01:35:50,19-09-2024 01:35:50,0.014s,PASSED
if (class == com.kms.katalon.selenium.driver.CRemoteWebDriver),Chrome 128.0.0.0,,,19-09-2024 01:35:50,19-09-2024 01:35:50,0.020s,PASSED
dirName = getProjectDir(),Chrome 128.0.0.0,,,19-09-2024 01:35:50,19-09-2024 01:35:50,0.004s,PASSED
"println(""Project Directory: "" + dirName)",Chrome 128.0.0.0,,,19-09-2024 01:35:50,19-09-2024 01:35:50,0.007s,PASSED
filePath = docx)).getCanonicalPath(),Chrome 128.0.0.0,,,19-09-2024 01:35:50,19-09-2024 01:35:50,0.004s,PASSED
"navigateToUrl(""https://www.filemail.com"")",Chrome 128.0.0.0,,,19-09-2024 01:35:50,19-09-2024 01:35:55,4.568s,PASSED
"click(findTestObject(""OR File Upload/Page_Send Large Files Free - Fast Secure File Transfer - Filemail/a_Log in""))",Chrome 128.0.0.0,,,19-09-2024 01:35:55,19-09-2024 01:35:59,4.770s,PASSED
"setText(findTestObject(""OR File Upload/Page_Login - Filemail - Filemail/input_Email_Email""), ""vjain089@gmail.com"")",Chrome 128.0.0.0,,,19-09-2024 01:35:59,19-09-2024 01:36:00,0.715s,PASSED
"setEncryptedText(findTestObject(""OR File Upload/Page_Login - Filemail - Filemail/input_Password_Password""), ""l4rHfn9ZkQZikqoROYKz3g=="")",Chrome 128.0.0.0,,,19-09-2024 01:36:00,19-09-2024 01:36:00,0.412s,PASSED
"click(findTestObject(""OR File Upload/Page_Login - Filemail - Filemail/button_Log in""))",Chrome 128.0.0.0,,,19-09-2024 01:36:00,19-09-2024 01:36:01,0.544s,PASSED
delay(2),Chrome 128.0.0.0,,,19-09-2024 01:36:01,19-09-2024 01:36:03,2.033s,PASSED
"setText(findTestObject(""OR File Upload/Page_Hub - Filemail/input_Transfer in progress_ui-widget-conten_9e29d3""), ""vaibhav.jain@katalon.com"")",Chrome 128.0.0.0,,,19-09-2024 01:36:03,19-09-2024 01:36:09,6.324s,PASSED
"click(findTestObject(""OR File Upload/Page_Hub - Filemail/div_Send as emailSend as linkTransfer in pr_17b1aa""))",Chrome 128.0.0.0,,,19-09-2024 01:36:09,19-09-2024 01:36:10,0.654s,PASSED
"setText(findTestObject(""OR File Upload/Page_Hub - Filemail/input_Transfer in progress_FilemailSubject""), ""Demo"")",Chrome 128.0.0.0,,,19-09-2024 01:36:10,19-09-2024 01:36:14,3.967s,PASSED
"uploadFile(findTestObject(""OR File Upload/Page_Hub - Filemail/label_Add Files""), filePath)",Chrome 128.0.0.0,,,19-09-2024 01:36:14,19-09-2024 01:36:14,0.279s,PASSED
delay(5),Chrome 128.0.0.0,,,19-09-2024 01:36:14,19-09-2024 01:36:19,5.008s,PASSED
"scrollToElement(findTestObject(""OR File Upload/Page_Hub - Filemail/button_Send""), 0)",Chrome 128.0.0.0,,,19-09-2024 01:36:19,19-09-2024 01:36:20,0.350s,PASSED
"click(findTestObject(""OR File Upload/Page_Hub - Filemail/button_Send""))",Chrome 128.0.0.0,,,19-09-2024 01:36:20,19-09-2024 01:36:26,6.505s,PASSED
delay(2),Chrome 128.0.0.0,,,19-09-2024 01:36:26,19-09-2024 01:36:28,2.009s,PASSED
"click(findTestObject(""OR File Upload/Page_Hub - Filemail/a_Log out""))",Chrome 128.0.0.0,,,19-09-2024 01:36:28,19-09-2024 01:36:28,0.003s,NOT_RUN
"click(findTestObject(""OR File Upload/Page_Hub - Filemail/button_Yes""))",Chrome 128.0.0.0,,,19-09-2024 01:36:28,19-09-2024 01:36:28,0.001s,NOT_RUN
Start listener action : autoUpdateJobStatus,Chrome 128.0.0.0,,,19-09-2024 01:36:28,19-09-2024 01:36:28,0.001s,PASSED
